sgRNA	Gene	PO1f_1	PO1f_2	PO1f_3	PO1f_Cas9_ku70_1	PO1f_Cas9_ku70_2	PO1f_Cas9_ku70_3
32319	YALI1_A13903g	193	196	582	11	16	61
29244	YALI1_E18378g	78	93	318	0	0	8
30536	YALI1_F09335g	497	293	610	3	0	2
28990	YALI1_E12211g	97	115	236	0	0	5
19840	YALI1_F39041g	18	0	27	0	0	0
37232	YALI1_B13401g	227	348	324	0	0	0
22870	YALI1_F16369g	56	63	164	1	0	0
24613	YALI1_A17348g	83	221	321	0	0	0
22012	YALI1_E36116g	13	26	0	0	0	0
1537	YALI1_B13641g	183	270	524	17	46	122
11531	YALI1_D08402g	265	297	295	224	633	518
9543	YALI1_B17805g	201	164	394	240	716	368
1678	YALI1_B17406g	179	64	244	0	0	0
38	Nontargeting	33	278	224	486	361	565
11133	YALI1_C31408g	106	104	118	2	21	9
1971	YALI1_B25087g	119	246	159	0	1	0
40130	YALI1_D27547g	163	245	545	312	675	509
3813	YALI1_D11623g	111	197	453	8	12	31
41522	YALI1_E27313g	186	435	192	6	37	32
4911	YALI1_E04706g	316	278	537	1	2	3
42080	YALI1_E40864g	98	202	227	35	70	38
7568	YALI1_F30086g	63	200	195	0	0	0
26790	YALI1_C23120g	61	205	283	0	0	0
8802	YALI1_A20855g	113	123	334	0	0	0
24320	YALI1_A09893g	182	107	259	0	0	0
45427	YALI1_E26900g	195	135	126	0	0	0
24921	YALI1_B02345g	147	58	540	0	0	0
2546	YALI1_C10730g	148	70	195	0	0	0
6519	YALI1_F03452g	65	125	302	0	0	0
40562	YALI1_E03416g	145	214	312	1	0	0
40908	YALI1_E12730g	151	246	273	1	0	1
30738	YALI1_F14168g	48	176	135	0	0	0
12756	YALI1_A18451g	138	112	327	0	7	8
25827	YALI1_B26763g	129	43	69	0	0	2
10241	YALI1_C06137g	113	68	324	1	0	11
45373	YALI1_E25537g	149	231	166	0	0	15
16310	YALI1_D27057g	69	60	173	0	0	0
7603	YALI1_F31153g	102	191	191	2	0	2
3566	YALI1_D05375g	205	77	220	155	98	85
35032	YALI1_D00352g	119	220	383	112	127	83
46494	YALI1_F12504g	153	354	402	5	0	1
